Utility,Overall_Score,Design_Structure,Implementation_Operations,Outreach_Accessibility,Program_Outcomes,Economic_Community_Impact,Peer_Category
Pacific Gas & Electric (PG&E),4.87,4.79,4.81,4.70,5.00,5.00,CPUC-Regulated Electric (CA)
Southern California Edison (SCE),4.83,4.38,4.62,5.00,5.00,4.25,CPUC-Regulated Electric (CA)
San Diego Gas & Electric (SDG&E),4.83,4.52,4.57,5.00,5.00,4.15,CPUC-Regulated Electric (CA)
WSSC Water,4.58,4.38,4.10,4.70,4.67,2.92,Public Water (Mid-Atlantic)
Pacific Gas & Electric (PG&E),4.87,4.79,4.81,4.70,5.00,5.00,CPUC-Regulated Electric (CA)
Southwest Gas,4.27,4.38,5.00,3.61,4.33,3.12,Gas Distribution (Multi-state)
American Water,3.88,4.38,3.81,3.89,4.00,3.08,Public Water (National)
DC Water,4.14,4.38,3.81,3.89,4.00,3.70,Public Water (Mid-Atlantic)
Caltrans,4.52,4.79,4.52,4.63,4.33,2.50,State Transportation (CA)
Dominion Energy,2.70,3.33,2.52,2.78,2.67,2.08,Multi-state Energy (Non-CPUC)
Peer Average (Excl. EBMUD),4.31,4.35,4.31,4.27,4.46,3.70,---
East Bay Municipal Utility District (EBMUD),3.57,4.38,3.57,3.70,4.33,1.25,Public Water (CA)
